GeoID,GeoType,TimePeriodID,Value,CI,Borough,GeoTypeDesc,Geography,Lat,Long,TimePeriod,Indicator
50101,NTA2020,300,61.3569,,Bronx,Neighborhood Tabulation Area,Mott Haven-Port Morris,40.8075,-73.9172,2017-21,Rent-burdened households: Percent (%)
50102,NTA2020,300,62.5783,,Bronx,Neighborhood Tabulation Area,Melrose,40.8183,-73.9129,2017-21,Rent-burdened households: Percent (%)
50201,NTA2020,300,59.3722,,Bronx,Neighborhood Tabulation Area,Hunts Point,40.8109,-73.885,2017-21,Rent-burdened households: Percent (%)
50202,NTA2020,300,57.6043,,Bronx,Neighborhood Tabulation Area,Longwood,40.821,-73.8966,2017-21,Rent-burdened households: Percent (%)
50301,NTA2020,300,64.1902,,Bronx,Neighborhood Tabulation Area,Morrisania,40.8273,-73.9047,2017-21,Rent-burdened households: Percent (%)
50302,NTA2020,300,54.1253,,Bronx,Neighborhood Tabulation Area,Claremont Village-Claremont (East),40.8376,-73.9035,2017-21,Rent-burdened households: Percent (%)
50303,NTA2020,300,53.5527,,Bronx,Neighborhood Tabulation Area,Crotona Park East,40.8321,-73.8887,2017-21,Rent-burdened households: Percent (%)
50401,NTA2020,300,61.3167,,Bronx,Neighborhood Tabulation Area,Concourse-Concourse Village,40.8267,-73.9217,2017-21,Rent-burdened households: Percent (%)
50402,NTA2020,300,56.4257,,Bronx,Neighborhood Tabulation Area,Highbridge,40.8369,-73.9278,2017-21,Rent-burdened households: Percent (%)
50403,NTA2020,300,58.8309,,Bronx,Neighborhood Tabulation Area,Mount Eden-Claremont (West),40.8405,-73.9144,2017-21,Rent-burdened households: Percent (%)
50501,NTA2020,300,57.9827,,Bronx,Neighborhood Tabulation Area,University Heights (South)-Morris Heights,40.8519,-73.9161,2017-21,Rent-burdened households: Percent (%)
50502,NTA2020,300,60.2467,,Bronx,Neighborhood Tabulation Area,Mount Hope,40.8499,-73.9044,2017-21,Rent-burdened households: Percent (%)
50503,NTA2020,300,59.5458,,Bronx,Neighborhood Tabulation Area,Fordham Heights,40.8587,-73.8991,2017-21,Rent-burdened households: Percent (%)
50601,NTA2020,300,62.9107,,Bronx,Neighborhood Tabulation Area,West Farms,40.8413,-73.8786,2017-21,Rent-burdened households: Percent (%)
50602,NTA2020,300,58.457,,Bronx,Neighborhood Tabulation Area,Tremont,40.8469,-73.8918,2017-21,Rent-burdened households: Percent (%)
50603,NTA2020,300,61.3165,,Bronx,Neighborhood Tabulation Area,Belmont,40.8576,-73.8871,2017-21,Rent-burdened households: Percent (%)
50701,NTA2020,300,63.2487,,Bronx,Neighborhood Tabulation Area,University Heights (North)-Fordham,40.8646,-73.9047,2017-21,Rent-burdened households: Percent (%)
50702,NTA2020,300,59.6673,,Bronx,Neighborhood Tabulation Area,Bedford Park,40.8736,-73.8908,2017-21,Rent-burdened households: Percent (%)
50703,NTA2020,300,58.1557,,Bronx,Neighborhood Tabulation Area,Norwood,40.8771,-73.879,2017-21,Rent-burdened households: Percent (%)
