"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Estimated annual rate per 10,000"
"2023","Citywide","1","0","-","-","New York City","New York City","16,898","143.7"
"2023","Borough","1","1","1","Bronx","Bronx","Bronx","5,683","239.8"
"2023","Borough","3","1","3","Manhattan","Manhattan","Manhattan","2,590","169.1"
"2023","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","4,954","125.4"
"2023","Borough","4","1","4","Queens","Queens","Queens","3,230","103.7"
"2023","Borough","5","1","5","Staten Island","Staten Island","Staten Island","441","55.9"
"2023","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","548","355.8"
"2023","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","804","345.8"
"2023","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","1,116","287.9"
"2023","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","720","266.2"
"2023","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","1,242","259.1"
"2023","UHF 42","105","4","1","Bronx","Crotona - Tremont","Crotona - Tremont  Bronx","1,038","258.9"
"2023","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","1,115","254.9"
"2023","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","750","215.1"
"2023","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","945","199.5"
"2023","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","543","180.2"
"2023","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","705","174.1"
"2023","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","244","159.7"
"2023","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","575","159.4"
"2023","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","457","153.7"
"2023","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","439","147.9"
"2023","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","622","139.3"
"2023","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","155","134.3"
"2023","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","299","132.8"
"2023","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","105","129.9"
"2023","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","336","114.0"
"2023","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","697","112.7"
"2023","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","51","109.5"
"2023","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","141","101.8"
"2023","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","65","99.9"
"2023","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","274","97.1"
"2023","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","184","93.7"
"2023","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","185","91.3"
"2023","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","201","90.8"
"2023","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","390","87.7"
"2023","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","153","87.4"
"2023","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","108","76.3"
"2023","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","306","74.0"
"2023","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","212","72.9"
"2023","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","173","51.2"
"2023","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","106","48.9"
"2023","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","28","47.9"
"2023","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","111","38.5"
"2023","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","41","32.5"
"2023","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","196","29.2"
"2023","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","42","29.2"
"2023","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","49","23.9"
"2023","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","72","23.2"
"2023","Community District","316","6","2","Brooklyn","Brownsville (CD16)","Brownsville (CD16)  Brooklyn","627","441.8"
"2023","Community District","110","6","3","Manhattan","Central Harlem (CD10)","Central Harlem (CD10)  Manhattan","619","396.7"
"2023","Community District","111","6","3","Manhattan","East Harlem (CD11)","East Harlem (CD11)  Manhattan","628","375.5"
"2023","Community District","201","6","1","Bronx","Mott Haven and Melrose (CD1)","Mott Haven and Melrose (CD1)  Bronx","585","326.9"
"2023","Community District","317","6","2","Brooklyn","East Flatbush (CD17)","East Flatbush (CD17)  Brooklyn","563","300.4"
"2023","Community District","206","6","1","Bronx","Belmont and East Tremont (CD6)","Belmont and East Tremont (CD6)  Bronx","459","281.9"
"2023","Community District","203","6","1","Bronx","Morrisania and Crotona (CD3)","Morrisania and Crotona (CD3)  Bronx","473","272.2"
"2023","Community District","204","6","1","Bronx","Highbridge and Concourse (CD4)","Highbridge and Concourse (CD4)  Bronx","697","262.3"
"2023","Community District","207","6","1","Bronx","Kingsbridge Heights and Bedford (CD7)","Kingsbridge Heights and Bedford (CD7)  Bronx","619","257.7"
"2023","Community District","305","6","2","Brooklyn","East New York and Starrett City (CD5)","East New York and Starrett City (CD5)  Brooklyn","763","252.3"
"2023","Community District","202","6","1","Bronx","Hunts Point and Longwood (CD2)","Hunts Point and Longwood (CD2)  Bronx","243","244.7"
"2023","Community District","205","6","1","Bronx","Fordham and University Heights (CD5)","Fordham and University Heights (CD5)  Bronx","535","223.5"
"2023","Community District","212","6","1","Bronx","Williamsbridge and Baychester (CD12)","Williamsbridge and Baychester (CD12)  Bronx","562","223.0"
"2023","Community District","303","6","2","Brooklyn","Bedford Stuyvesant (CD3)","Bedford Stuyvesant (CD3)  Brooklyn","485","219.2"
"2023","Community District","209","6","1","Bronx","Parkchester and Soundview (CD9)","Parkchester and Soundview (CD9)  Bronx","644","215.8"
"2023","Community District","308","6","2","Brooklyn","Crown Heights and Prospect Heights (CD8)","Crown Heights and Prospect Heights (CD8)  Brooklyn","233","205.0"
"2023","Community District","211","6","1","Bronx","Morris Park and Bronxdale (CD11)","Morris Park and Bronxdale (CD11)  Bronx","352","201.8"
"2023","Community District","109","6","3","Manhattan","Morningside Heights and Hamilton Heights (CD9)","Morningside Heights and Hamilton Heights (CD9)  Manhattan","219","187.5"
"2023","Community District","302","6","2","Brooklyn","Fort Greene and Brooklyn Heights (CD2)","Fort Greene and Brooklyn Heights (CD2)  Brooklyn","204","178.9"
"2023","Community District","103","6","3","Manhattan","Lower East Side and Chinatown (CD3)","Lower East Side and Chinatown (CD3)  Manhattan","263","165.0"
